code	en_US	de_DE	fr_FR
If you have an account with us, please enter your user name and password		Wenn Sie ein Konto bei uns eröffnet haben, tragen Sie bitte Ihren Benutzernamen und Ihr Passwort ein.	Si vous avez un compte chez nous, entrez votre nom et votre mot de passe s.v.p
Shopping Cart		Einkaufstasche	Panier
Must match all		Entspricht allen Suchkriterien	Satisfait tous les criter&egrave;s
your name		Ihr Name	votre nom
High		Hoch	Maximum
Quantity		Anzahl	Quantit&eacute;
Recalculate		Neu Berechnen	Addition
Sold To		Verkauft an
Description		Beschreibung
August		August	Aout
Shopping Cart Contents		Inhalt Ihrer Einkaufstasche	Votre s&eacute;lection	Votre s&eacute;lection
Order details		Detaillierte Bestellungsangaben	details de la commande
State		Bundesstaat	Etat
February		Februar	F&eacute;vrier
only the items you have placed in your basket will be removed.		es wird nur der Inhalt Ihrer Einkaufstasche entfernt.	seuls les articles selectionn&eacute;s seront retir&eacute;s. de votre s&eacute;lection
Shipping		Versendungsart	Exp&eacute;dition
none		nichts	rien
That will send you to a frame that will let you search on artist, title, or museum.			Cela vous pr&eacute;sentera une page qui vous permettra de rechercher une oeuvre selon l'artiste, le titre, ou le mus&eacute;e.
Place in Basket		In die Einkaufstasche	S&eacute;lection
Spelling errors allowed		Erlaubte Rechtschreibfehler	Nombre de fautes<BR>d'ortographe tol&eacute;r&eacute;es
The quintessential piece of Americana.			L'oeuvre quintessentielle du style Americana.
If you click Remove Contents		Inhalt der Einkaufstasche entfernen	Si vous appuyez sur Effacer la sélection
Browse The Art Store		Bummeln Sie durch die Kunst-Boutique	Parcourez la boutique d'Art
If you click <STRONG>Erase All Information</STRONG>		Wenn Sie <STRONG>Entfernen Sie alle Eintragungen</STRONG> drücken	Si vous appuyez sur <STRONG>Effacer Toutes les Informations</STRONG>
Expires		Ung&uuml;ltig ab	Date d'expiration
July		Juli	Juillet
Remove Contents Only		Inhalt der Einkaufstasche entfernen	Effacer la S&eacute;lection
To use the search feature, just press the link to your left.  That will		Um unsere Suchfunktionen zu benutzen, brauchen Sie nur auf dem Bildchen zu Ihrer Linken zu dr&uuml;cken	Pour utiliser le dispositif de recherche, pressez juste le lien vers votre gauche.
titles found		gefundene Titel	titres trouv&eacute;s
mon_decimal_point	.	,	,
Daytime Phone		Telefon (Tag)	T&eacute;lephone (journ&eacute;e)
Receipt		Quittung
Browse one or two at a time		Bl&auml;ttern Sie durch ein oder zwei Kategorien auf einmal	Regardez nos articles un par un ou deux par deux
if you like -- or try		durch unseren Katalog -- oder suchen Sie	notre catalogue -- ou essayez
Match any		Entspricht irgend einem Suchkriterium	Satisfait un des criter&egrave;s
Artist or Title		K&uuml;nstler oder Titel	Artiste ou Titre
mon_thousand_sep		 
Shipping Cost		Versendungskosten
Total		Summe
Renaissance		Renaissance	La Renaissance
More Info		Weitere Informationen	Pour en savoir plus
Country		Land	Pays
Erase All Information		Alle Angaben entfernen	Effacer Toutes les Informations
Check out		Kasse	Commande
Password		Passwort	Votre mot de passe
ProductFiles		
I plan on returning, save my information		I möchte wiederkommen, bitte bewahren Sie meine Angaben auf.	Je ferais de nouveaux achats dans ce magasin, sauvegardez mes informations confidentielles
(OOPS! credit card not encrypted with PGP)		(Hoppla, Ihre Kreditkarte ist nicht mit PGP verschlüsselt)	(PGP s.v.p)
and		und	et
Username does not exist			Ce nom d'utilisateur n'est pas enregistr&eacute;
If you wish to do neither, just use the buttonbar or your browser's <STRONG>Back</STRONG> function to return to shopping.		Wenn Sie keines von beiden möchten, benutzen Sie den Rüwärtsknopf von Ihrem Browser und bummeln weiter	Utilisez la fonction <STRONG>Retour</STRONG> de votre navigateur si vous ne souhaitez faire aucune modification.
Stop shopping		Einkaufen beenden	Annulation
December		Dezember	D&eacute;cembre
You will have to enter it again to buy anything		Sie m&uuml;ssen Ihre Angaben wieder neu eintragen, wenn Sie wieder einkaufen m&ouml;chten.	Vous devrez les entrer &egrave; nouveau pour faire vos achats
Title		Titel	Titre
Postal Code		Postleitzahl	Code postal
Impressionists		Impressionisten	Impressionnistes
Case sensitive		Erkennt Gro&sxlig;- und Kleinschreibung	Sensible au minuscule et majuscules
May		Mai	Mai
address		Ihre Adresse	votre adresse
THE STARRY NIGHT			LA NUIT ETOILEE
You can enter information, and it will be saved, but no checkout will happen until you order something!		Sie k&ouml;nnen gerne Ihre Angaben eintragen und wir werden sie elektronisch sichern und ablegen, aber Sie k&ouml;nnen nicht zur Kasse gehen ohne etwas bestellt zu haben!
Home		Kunst-Boutique	Boutique
Choose you shipping method			Choix de l'acheminement
Item			Article
PERSISTENCE OF MEMORY			LA PERSISTANCE DU SOUVENIR
AMERICAN GOTHIC			GOTHIQUE AMERICAIN
To use the search feature, just press the link to your left.			Pour utiliser le dispositif de recherche, s&eacute;lectionnez le lien sur votre gauche.
Reverse Artiste			Artiste (ordre inverse)
Search		Suche	Recherche
Guaranteed to be of the finest cheap T-shirt material.			T-shirt garanti du meilleur tissu bon march&eacute
Browse if you like -- or try searching for			Decouvrez notre catalogue -- ou recherchez
Welcome to		Willkommen in unserer Kunst-Boutique :	Bienvenue dans notre boutique d'Art :
You will have to enter it again to buy anything.			Vous devrez les entrer &agrave; nouveau pour faire vos achats
Search for your<BR>favorite!		Suchen Sie Ihren<BR>Lieblingsk&uuml;stler!	Recherchez votre<BR>artiste favori!
Any		Irgendein	Quelconque
Pay by credit card		Bezahlung mit Kreditkarte	Paiement par carte de cr&eacute;dit
I plan on returning, save my information (credit card is encrypted with PGP!)		
Category		Kategorie	Cat&eacute;gorie
Random Banner		Beliebige Werbung	Publicit&eacute; all&eacute;atoire
How does he do that?			Comment fait il cela ?
If you click Erase All Information,			Si vous appuyez sur Effacer Toutes les Informations,
p_sep_by_space			1
Either way, just press the order button for an item you like!		Zum Bestellen dr&uuml;cken Sie auf das Bildchen "Place in the Basket"	Appuyez sur le bouton de commande pour choisir une oeuvre !
That's all there is to it!		Es ist wirklich ganz einfach!	C'est aussi simple que cela !
Zip/Postal Code		Postleitzahl	Zip/Code postal
No object		Kein Artikel	sans objet
 PGP)		
Create a new account		Konto er&ouml;ffnen	Cr&eacute;er un nouveau compte
State/Province		Bundesstaat	Etat/Province
Reverse Artist		K&uuml;nstler (umgekehrte Reihenfolge)	Artiste (ordre inverse)
electronic order form will automatically add it to your list. Fill out		Unser elektronisches Bestellformular wird Ihre Auswahl automatisch in Ihre Einkaufstasche legen.	électonique que vous n'aurez qu'à compléter. C'est aussi simple que cela!
Email Address		Email Adresse	Adresse e-mail
products		de_products	produits
October		October	Octobre
ORDER NOW		BESTELLEN SIE	COMMANDE
I will call with payment information		Ich rufe an mit meinen Angaben zur Bezahlung	Je vais appeler pour communiquer les informations relatives au paiement
Artist			Artiste
What is wrong with this picture?			Qu'est ce qui ne va pas dans cette image ?
Haunting view of Grandma's Parlor			Vue du salon hant&eacute; de Grand m&egrave;re
Shopping Cart content			Votre s&eacute;lection
An exquisite painting showing Van Gogh at the height of his pointillist powers. 			Le remarquable chef d'oeuvre pointilliste de Van Gogh
default	1	0	0
See our fine products!			Regardez nos plus beaux produits
Museum		Museum	Mus&eacute;e
Artiste		K&uuml;nstler
Search Results		Suche Resultiert	La recherche r&eacute;sulte
September		September	Septembre
Fields to search		Suchkriterien	Criter&egrave;s de recherche
City		Stadt	Ville
Sales Tax		Mehrwertssteuer	Taxe de vente
Match substrings		Entspricht Teilw&ouml;rtern	Mot clef incompl&egrave
PriceDivide	1	.5409	.1632
for your favorite artist.		nach Ihrem Lieblingsk&uuml;nstler.	votre artiste pr&eacute;f&eacute;r&eacute;.
Hello		Guten Tag	Bonjour
January		Januar	Janvier
Force this card number to be taken		Erzwingen Sie die Annahme dieser Kreditkarte	Impose ce num&eacute;ro de carte de cr&eacute;dit
Search by Price		Suchen nach Preiskategorie	Recherche par prix
Quantity Pricing		Mengenrabatt	Prix Quantit&eacute;
Choose your shipping method		W&auml;en Sie Ihre Versandsmethode	Choix de l'acheminement
November		November	Novembre
TOTAL		SUMME
Log in		Anmelden	Connection
Select by<BR>category!		W&auml;hlen Sie per Kategorie!	Selection par<BR>catégorie!
What was she smiling about? 			A quel propos souriait elle ?
June		Juni	Juin
Price		Preis	Prix
Shipping Address		Postanschrift	Adresse d'exp&eacute;dition
price_picture		DM ### ### ###,##
Card Number		Kreditkartennummer	Num&eacute;ro de carte
Evening		Telefon (Abends)	(soir&eacute;e)
March		M&auml;rz	Mars
Shipping Method		Versendungsart
Hi		Guten Tag	Bonjour
